"","CharacteristicName","ResultMeasure.MeasureUnitCode","DetectionQuantitationLimitMeasure.MeasureUnitCode","source_labmethodid","source_labmethodname","USGSPCode","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","source_samplesiteid","ActivityCommentText","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","ResultSampleFractionText","datavalue","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","source_labmethoddescription","ResultLaboratoryCommentText","source_qualifier","DetectionQuantitationLimitMeasure.MeasureValue","ProviderName","ActivityStartDateTime","ActivityEndDateTime","Obs_Id","State","Id_num","wqp_monitoringlocationname","wqp_providername","lagoslakeid","source_parameter","source_value","source_unit","detectionlimit_legacy","detectionlimit_unit_legacy","Conversion","Conversion_dl","Notes","sampledate","source_sampledepth","variableid_lagos","limit_low","limit_high","variableshortname","source_sampleposition","lagos_sampledepth","lagos_sampleposition"
"1012","Conductivity","uS/cm",NA,"NA NA",NA,"95","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700540","Sample-Routine","2017-09-07","13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03340871","L-2560006 LC not indicated as add or delete, LC added, AAN","50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",319,NA,"Accepted",NA,"Actual",NA,NA,"25 deg C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"319","NWIS","2017-09-07 18:00:00",NA,"IN-71118","IN","71118","CECIL M HARDEN LAKE 30FT BELOW SURF AT FERNDALE IN","NWIS","518","Specific conductance","319","uS/cm @25C",NA,NA,"1","1","USGS 00095",2017-09-07,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"1013","Nitrogen, NH4","ug/l",NA,"USGS SHC02","Ammonia, wf, DA sal/hypo (NWQL)","608","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700540","Sample-Routine","2017-09-07","13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03340871","L-2560006 LC not indicated as add or delete, LC added, AAN","50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Dissolved",250,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHC02","USGS","Analyst, 1980, v 105, p 305-316",NA,NA,"250","NWIS","2017-09-07 18:00:00",NA,"IN-71299","IN","71299","CECIL M HARDEN LAKE 30FT BELOW SURF AT FERNDALE IN","NWIS","518","Ammonia and ammonium","0.25","mg/l as N",NA,NA,"1000","1000","USGS_00608; Ammonia in filtered water by discrete analyzer salicylate-hypochlorite reaction and colorimetry (formerly Mcode 00048; NWQL)",2017-09-07,NA,19,-1000,50000,"nh4_n_ugl","UNKNOWN",NA,"UNKNOWN"
"1014","Nitrogen, nitrite (NO2)","ug/l",NA,"USGS DZ001","Nitrite, wf, DA, diazo","613","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700540","Sample-Routine","2017-09-07","13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03340871","L-2560006 LC not indicated as add or delete, LC added, AAN","50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Dissolved",62,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DZ001","USGS",NA,NA,NA,"62","NWIS","2017-09-07 18:00:00",NA,"IN-71300","IN","71300","CECIL M HARDEN LAKE 30FT BELOW SURF AT FERNDALE IN","NWIS","518","Nitrite","0.062","mg/l as N",NA,NA,"1000","1000","USGS-00613; Nitrite, filtered water, discrete analyzer, diazotization and colorimetry (formerly Mcode 00049)",2017-09-07,NA,17,-1000,2000,"no2_n_ugl","UNKNOWN",NA,"UNKNOWN"
"1015","Nitrogen, nitrite (NO2) + nitrate (NO3)","ug/l",NA,"USGS RED01","NO3+NO2, wf, FCC,NaR, DA","631","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700540","Sample-Routine","2017-09-07","13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03340871","L-2560006 LC not indicated as add or delete, LC added, AAN","50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Dissolved",463,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RED01","USGS","USGS TMR 5-B8",NA,NA,"463","NWIS","2017-09-07 18:00:00",NA,"IN-71446","IN","71446","CECIL M HARDEN LAKE 30FT BELOW SURF AT FERNDALE IN","NWIS","518","Inorganic nitrogen (nitrate and nitrite)","0.463","mg/l as N",NA,NA,"1000","1000","USGS_00631",2017-09-07,NA,18,-1000,100000,"no2no3_n_ugl","UNKNOWN",NA,"UNKNOWN"
"1016","Nitrogen, total","ug/l",NA,"USGS AKP01","Nutrients, wu, WCA,persulfate,CF","62855","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700540","Sample-Routine","2017-09-07","13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03340871","L-2560006 LC not indicated as add or delete, LC added, AAN","50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",1280,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AKP01","USGS","USGS WRI 03-4174",NA,NA,"1280","NWIS","2017-09-07 18:00:00",NA,"IN-71396","IN","71396","CECIL M HARDEN LAKE 30FT BELOW SURF AT FERNDALE IN","NWIS","518","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","1.28","mg/l",NA,NA,"1000","1000","USGS_62855",2017-09-07,NA,21,-1000,100000,"tn_ugl","UNKNOWN",NA,"UNKNOWN"
"1017","Oxygen, dissolved","mg/l",NA,"NA NA",NA,"300","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700540","Sample-Routine","2017-09-07","13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03340871","L-2560006 LC not indicated as add or delete, LC added, AAN","50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Dissolved",4.8,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.8","NWIS","2017-09-07 18:00:00",NA,"IN-71020","IN","71020","CECIL M HARDEN LAKE 30FT BELOW SURF AT FERNDALE IN","NWIS","518","Oxygen","4.8","mg/l",NA,NA,"1","1","USGS_00300; Dissolved oxygen, water, unfiltered, milligrams per liter",2017-09-07,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"1018","pH, field or lab","pH",NA,"NA NA",NA,"400","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700540","Sample-Routine","2017-09-07","13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03340871","L-2560006 LC not indicated as add or delete, LC added, AAN","50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",8,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","NWIS","2017-09-07 18:00:00",NA,"IN-71298","IN","71298","CECIL M HARDEN LAKE 30FT BELOW SURF AT FERNDALE IN","NWIS","518","pH","8.0","std units",NA,NA,"1","1","USGS_00400; pH, water, unfiltered, field, standard units",2017-09-07,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"1019","Phosphorus, total","ug/l",NA,"USGS CL021","P, wu, WCA, persulfate CF color","665","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700540","Sample-Routine","2017-09-07","13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03340871","L-2560006 LC not indicated as add or delete, LC added, AAN","50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",33,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CL021","USGS",NA,NA,NA,"33","NWIS","2017-09-07 18:00:00",NA,"IN-71301","IN","71301","CECIL M HARDEN LAKE 30FT BELOW SURF AT FERNDALE IN","NWIS","518","Phosphorus","0.033","mg/l as P",NA,NA,"1000","1000","USGS 00665",2017-09-07,NA,27,-1000,100000,"tp_ugl","UNKNOWN",NA,"UNKNOWN"
"1020","Alkalinity","ueq/l","ueq/l","USEPA 310.1","Alkalinity by Titration",NA,"21OHIO_WQX","Division of Surface water (Ohio)","21OHIO_WQX-300412:20170921:1015:SR","Sample-Routine","2017-09-21","10:15:00","2017-09-21",NA,NA,NA,NA,NA,NA,NA,"1706",NA,"21OHIO_WQX-300412","17091817-03","OH - Water","21OHIO_WQX","OEPA Surface Water Sample Collection Method","Water Bottle",NA,NA,99.1,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"310.1","USEPA","https://www.nemi.gov/methods/method_summary/5230/",NA,"Reporting limit","99.1","STORET","2017-09-21 14:15:00","2017-09-21 14:20:00","OH-633296","OH","633296","BUCKEYE LAKE, L-1","STORET","984","Alkalinity, total","99.1","mg/l","5","mg/l","1","1","EPA 310.1; Reported as alkalinity",2017-09-21,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"1021","Carbon, total organic","mg/l","mg/l","APHA 5310-C","5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method",NA,"21OHIO_WQX","Division of Surface water (Ohio)","21OHIO_WQX-300412:20170921:1015:SR","Sample-Routine","2017-09-21","10:15:00","2017-09-21",NA,NA,NA,NA,NA,NA,NA,"1706",NA,"21OHIO_WQX-300412","17091817-03","OH - Water","21OHIO_WQX","OEPA Surface Water Sample Collection Method","Water Bottle",NA,"Total",12.2,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5310-C","APHA","https://www.nemi.gov/methods/method_summary/5718/",NA,"Reporting limit","12.2","STORET","2017-09-21 14:15:00","2017-09-21 14:20:00","OH-633042","OH","633042","BUCKEYE LAKE, L-1","STORET","984","Organic carbon","12.2","mg/l","2","mg/l","1","1",NA,2017-09-21,NA,7,-10,400,"toc_mgl","UNKNOWN",NA,"UNKNOWN"
"1022","Chlorophyll a","ug/l","ug/l","USEPA 445.0","445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence",NA,"21OHIO_WQX","Division of Surface water (Ohio)","21OHIO_WQX-300412:20170921:1015:SR","Sample-Routine","2017-09-21","10:15:00","2017-09-21",NA,NA,NA,NA,NA,NA,NA,"1706",NA,"21OHIO_WQX-300412","17091817-03","OH - Water","21OHIO_WQX","OEPA Surface Water Sample Collection Method","Water Bottle",NA,"Filterable",204,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"445.0","USEPA","https://www.nemi.gov/methods/method_summary/7222/",NA,"Reporting limit","204","STORET","2017-09-21 14:15:00","2017-09-21 14:20:00","OH-633169","OH","633169","BUCKEYE LAKE, L-1","STORET","984","Chlorophyll a, corrected for pheophytin","204","ug/l","6.087","ug/l","1","1","EPA 445.0",2017-09-21,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"1023","Turbidity","NTU","NTU","APHA 2130-B","2130 B ~ Nephelometric Method",NA,"21OHIO_WQX","Division of Surface water (Ohio)","21OHIO_WQX-300412:20170921:1015:SR","Sample-Routine","2017-09-21","10:15:00","2017-09-21",NA,NA,NA,NA,NA,NA,NA,"1706",NA,"21OHIO_WQX-300412","17091817-03","OH - Water","21OHIO_WQX","OEPA Surface Water Sample Collection Method","Water Bottle",NA,NA,65.1,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2130-B","APHA","https://www.nemi.gov/methods/method_summary/9645/",NA,"Reporting limit","65.1","STORET","2017-09-21 14:15:00","2017-09-21 14:20:00","OH-633266","OH","633266","BUCKEYE LAKE, L-1","STORET","984","Turbidity","65.1","NTU","1","NTU","1","1","APHA 2130-B; Turbidity, water, unfiltered, laboratory, nephelometric method (Standard Methods 2130 B; USGSVAWC; VA-CLS)",2017-09-21,NA,36,0,20000,"turb_ntu","UNKNOWN",NA,"UNKNOWN"
"1024","Chlorophyll a","ug/l",NA,"NA NA",NA,"32318","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700563","Sample-Routine","2017-09-28","13:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03275991",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",6.2,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.2","NWIS","2017-09-28 18:50:00",NA,"IN-1013","IN","1013","BROOKVILLE LK 30 FT BELOW SURFACE AT BROOKVILLE IN","NWIS","2907","Chlorophyll","6.2","ug/l",NA,NA,"1","1","USGS 32318; fluorescence?",2017-09-28,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"1025","Conductivity","uS/cm",NA,"NA NA",NA,"95","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700563","Sample-Routine","2017-09-28","13:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03275991",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",402,NA,"Accepted",NA,"Actual",NA,NA,"25 deg C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402","NWIS","2017-09-28 18:50:00",NA,"IN-993","IN","993","BROOKVILLE LK 30 FT BELOW SURFACE AT BROOKVILLE IN","NWIS","2907","Specific conductance","402","uS/cm @25C",NA,NA,"1","1","USGS 00095",2017-09-28,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"1026","Nitrogen, NH4","ug/l",NA,"USGS SHC02","Ammonia, wf, DA sal/hypo (NWQL)","608","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700563","Sample-Routine","2017-09-28","13:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03275991",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Dissolved",50,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHC02","USGS","Analyst, 1980, v 105, p 305-316",NA,NA,"50","NWIS","2017-09-28 18:50:00",NA,"IN-998","IN","998","BROOKVILLE LK 30 FT BELOW SURFACE AT BROOKVILLE IN","NWIS","2907","Ammonia and ammonium","0.05","mg/l as N",NA,NA,"1000","1000","USGS_00608; Ammonia in filtered water by discrete analyzer salicylate-hypochlorite reaction and colorimetry (formerly Mcode 00048; NWQL)",2017-09-28,NA,19,-1000,50000,"nh4_n_ugl","UNKNOWN",NA,"UNKNOWN"
"1027","Nitrogen, nitrite (NO2)","ug/l",NA,"USGS DZ001","Nitrite, wf, DA, diazo","613","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700563","Sample-Routine","2017-09-28","13:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03275991",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Dissolved",33,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DZ001","USGS",NA,NA,NA,"33","NWIS","2017-09-28 18:50:00",NA,"IN-999","IN","999","BROOKVILLE LK 30 FT BELOW SURFACE AT BROOKVILLE IN","NWIS","2907","Nitrite","0.033","mg/l as N",NA,NA,"1000","1000","USGS-00613; Nitrite, filtered water, discrete analyzer, diazotization and colorimetry (formerly Mcode 00049)",2017-09-28,NA,17,-1000,2000,"no2_n_ugl","UNKNOWN",NA,"UNKNOWN"
"1028","Nitrogen, nitrite (NO2) + nitrate (NO3)","ug/l",NA,"USGS RED01","NO3+NO2, wf, FCC,NaR, DA","631","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700563","Sample-Routine","2017-09-28","13:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03275991",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Dissolved",918,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RED01","USGS","USGS TMR 5-B8",NA,NA,"918","NWIS","2017-09-28 18:50:00",NA,"IN-1001","IN","1001","BROOKVILLE LK 30 FT BELOW SURFACE AT BROOKVILLE IN","NWIS","2907","Inorganic nitrogen (nitrate and nitrite)","0.918","mg/l as N",NA,NA,"1000","1000","USGS_00631",2017-09-28,NA,18,-1000,100000,"no2no3_n_ugl","UNKNOWN",NA,"UNKNOWN"
"1029","Nitrogen, total","ug/l",NA,"USGS AKP01","Nutrients, wu, WCA,persulfate,CF","62855","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700563","Sample-Routine","2017-09-28","13:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03275991",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",1320,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AKP01","USGS","USGS WRI 03-4174",NA,NA,"1320","NWIS","2017-09-28 18:50:00",NA,"IN-1018","IN","1018","BROOKVILLE LK 30 FT BELOW SURFACE AT BROOKVILLE IN","NWIS","2907","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","1.32","mg/l",NA,NA,"1000","1000","USGS_62855",2017-09-28,NA,21,-1000,100000,"tn_ugl","UNKNOWN",NA,"UNKNOWN"
"1030","Oxygen, dissolved","mg/l",NA,"NA NA",NA,"300","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700563","Sample-Routine","2017-09-28","13:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03275991",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Dissolved",0.4,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4","NWIS","2017-09-28 18:50:00",NA,"IN-995","IN","995","BROOKVILLE LK 30 FT BELOW SURFACE AT BROOKVILLE IN","NWIS","2907","Oxygen","0.4","mg/l",NA,NA,"1","1","USGS_00300; Dissolved oxygen, water, unfiltered, milligrams per liter",2017-09-28,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"1031","pH, field or lab","pH",NA,"NA NA",NA,"400","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700563","Sample-Routine","2017-09-28","13:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03275991",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",7.7,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.7","NWIS","2017-09-28 18:50:00",NA,"IN-996","IN","996","BROOKVILLE LK 30 FT BELOW SURFACE AT BROOKVILLE IN","NWIS","2907","pH","7.7","std units",NA,NA,"1","1","USGS_00400; pH, water, unfiltered, field, standard units",2017-09-28,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"1032","Phosphorus, total","ug/l",NA,"USGS CL021","P, wu, WCA, persulfate CF color","665","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700563","Sample-Routine","2017-09-28","13:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03275991",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",19,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CL021","USGS",NA,NA,NA,"19","NWIS","2017-09-28 18:50:00",NA,"IN-1003","IN","1003","BROOKVILLE LK 30 FT BELOW SURFACE AT BROOKVILLE IN","NWIS","2907","Phosphorus","0.019","mg/l as P",NA,NA,"1000","1000","USGS 00665",2017-09-28,NA,27,-1000,100000,"tp_ugl","UNKNOWN",NA,"UNKNOWN"
"1033","Alkalinity","ueq/l","ueq/l","USEPA 310.1","Alkalinity by Titration",NA,"21OHIO_WQX","Division of Surface water (Ohio)","21OHIO_WQX-300412:20171003:1010:SR","Sample-Routine","2017-10-03","10:10:00","2017-10-03",NA,NA,NA,NA,NA,NA,NA,"1706",NA,"21OHIO_WQX-300412","17092903-03","OH - Water","21OHIO_WQX","OEPA Surface Water Sample Collection Method","Water Bottle",NA,NA,98.1,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"310.1","USEPA","https://www.nemi.gov/methods/method_summary/5230/",NA,"Reporting limit","98.1","STORET","2017-10-03 14:10:00","2017-10-03 14:15:00","OH-633152","OH","633152","BUCKEYE LAKE, L-1","STORET","984","Alkalinity, total","98.1","mg/l","5","mg/l","1","1","EPA 310.1; Reported as alkalinity",2017-10-03,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"1034","Carbon, total organic","mg/l","mg/l","APHA 5310-C","5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method",NA,"21OHIO_WQX","Division of Surface water (Ohio)","21OHIO_WQX-300412:20171003:1010:SR","Sample-Routine","2017-10-03","10:10:00","2017-10-03",NA,NA,NA,NA,NA,NA,NA,"1706",NA,"21OHIO_WQX-300412","17092903-03","OH - Water","21OHIO_WQX","OEPA Surface Water Sample Collection Method","Water Bottle",NA,"Total",11.2,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5310-C","APHA","https://www.nemi.gov/methods/method_summary/5718/",NA,"Reporting limit","11.2","STORET","2017-10-03 14:10:00","2017-10-03 14:15:00","OH-633213","OH","633213","BUCKEYE LAKE, L-1","STORET","984","Organic carbon","11.2","mg/l","2","mg/l","1","1",NA,2017-10-03,NA,7,-10,400,"toc_mgl","UNKNOWN",NA,"UNKNOWN"
"1035","Chlorophyll a","ug/l","ug/l","USEPA 445.0","445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence",NA,"21OHIO_WQX","Division of Surface water (Ohio)","21OHIO_WQX-300412:20171003:1010:SR","Sample-Routine","2017-10-03","10:10:00","2017-10-03",NA,NA,NA,NA,NA,NA,NA,"1706",NA,"21OHIO_WQX-300412","17092903-03","OH - Water","21OHIO_WQX","OEPA Surface Water Sample Collection Method","Water Bottle",NA,"Filterable",200,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"445.0","USEPA","https://www.nemi.gov/methods/method_summary/7222/",NA,"Reporting limit","200","STORET","2017-10-03 14:10:00","2017-10-03 14:15:00","OH-633305","OH","633305","BUCKEYE LAKE, L-1","STORET","984","Chlorophyll a, corrected for pheophytin","200","ug/l","5.8333","ug/l","1","1","EPA 445.0",2017-10-03,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"1036","Turbidity","NTU","NTU","APHA 2130-B","2130 B ~ Nephelometric Method",NA,"21OHIO_WQX","Division of Surface water (Ohio)","21OHIO_WQX-300412:20171003:1010:SR","Sample-Routine","2017-10-03","10:10:00","2017-10-03",NA,NA,NA,NA,NA,NA,NA,"1706",NA,"21OHIO_WQX-300412","17092903-03","OH - Water","21OHIO_WQX","OEPA Surface Water Sample Collection Method","Water Bottle",NA,NA,57.7,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2130-B","APHA","https://www.nemi.gov/methods/method_summary/9645/",NA,"Reporting limit","57.7","STORET","2017-10-03 14:10:00","2017-10-03 14:15:00","OH-633274","OH","633274","BUCKEYE LAKE, L-1","STORET","984","Turbidity","57.7","NTU","1","NTU","1","1","APHA 2130-B; Turbidity, water, unfiltered, laboratory, nephelometric method (Standard Methods 2130 B; USGSVAWC; VA-CLS)",2017-10-03,NA,36,0,20000,"turb_ntu","UNKNOWN",NA,"UNKNOWN"
"1037","Chlorophyll a","ug/l",NA,"NA NA",NA,"32318","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01800006","Sample-Routine","2017-10-03","12:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03340871",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",10.1,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1","NWIS","2017-10-03 17:30:00",NA,"IN-71321","IN","71321","CECIL M HARDEN LAKE 30FT BELOW SURF AT FERNDALE IN","NWIS","518","Chlorophyll","10.1","ug/l",NA,NA,"1","1","USGS 32318; fluorescence?",2017-10-03,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"1038","Conductivity","uS/cm",NA,"NA NA",NA,"95","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01800006","Sample-Routine","2017-10-03","12:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-03340871",NA,"50","USGS parameter code 82398","Point sample","Kemmerer bottle",NA,"Total",320,NA,"Accepted",NA,"Actual",NA,NA,"25 deg C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"320","NWIS","2017-10-03 17:30:00",NA,"IN-71023","IN","71023","CECIL M HARDEN LAKE 30FT BELOW SURF AT FERNDALE IN","NWIS","518","Specific conductance","320","uS/cm @25C",NA,NA,"1","1","USGS 00095",2017-10-03,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
